taxid,organism_strain
511145,Escheiria Coli MG1655
165179,Segatella copri
817,Bacteroides fragilis 3_1_12
226186,Bacteroides thetaiotaomicron VPI-5482
821,Phocaeicola vulgatus 274-1D4
28116,Bacteroides ovatus 3_8_47FAA
820,Bacteroides uniformis ATCC 8492
28117,Alistipes putredinis DSM 17216
435591,Parabacteroides distasonis ATCC 8503
411477,Parabacteroides merdae ATCC 43184
47678,Bacteroides caccae ATCC 43185
853,Faecalibacterium cf. prausnitzii KLE1255
515619,Agathobacter rectalis ATCC 33656
585394,Roseburia hominis A2-183
166486,Roseburia intestinalis CAG:13
,Ruminococcus bromii L2-63
411459,Blautia obeum ATCC 29174
,Clostridium leptum A16_3
1492,Clostridium butyricum 2CR37
418240,Blautia wexlerae AGR2146
411490,Anaerostipes caccae L1-92
88431,Dorea longicatena AGR2136
470146,Coprococcus comes ATCC 27758
515620,Lachnospira eligens ATCC 27750
45851,Eshraghiella crossota CAG:259
214851,Subdoligranulum variabile DSM 15176
367928,Bifidobacterium adolescentis ATCC 15703
216816,Bifidobacterium longum 3_1_37DFAAB
1385938,Bifidobacterium breve 12L
500634,Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456
518635,Bifidobacterium angulatum DSM 20098 = JCM 7096
316435,Escherichia coli Nissle 1917
,Desulfovibrio piger ATCC 29098
35833,Bilophila wadsworthia 3_1_6
349741,Akkermansia muciniphila ATCC BAA-835
851,Fusobacterium nucleatum 13_3C
47715,Lacticaseibacillus rhamnosus 2166
1051650,Lacticaseibacillus casei 12A
1590,Lactiplantibacillus plantarum 16
1598,Limosilactobacillus reuteri CF48-3A
1579,Lactobacillus acidophilus 30SC
1596,Lactobacillus gasseri 130918
1358,Lactococcus lactis RTB018
1308,Streptococcus thermophilus 1F8CT
411903,Collinsella aerofaciens ATCC 25986
84112,Eggerthella lenta 1_1_60AFAA
420247,Methanobrevibacter smithii ATCC 35061
,Holdemania filiformis DSM 12042
28118,Odoribacter splanchnicus CAG:14
,Turicibacter sanguinis PC909
224308,Bacillus subtilis subsp. subtilis str. 168
562,Escherichia coli DH5[alpha]
