taxid,organism_strain
511145,Escherichia coli MG1655
165179,Segatella copri
457424,Bacteroides fragilis 3_1_12
226186,Bacteroides thetaiotaomicron VPI-5482
1125631,Phocaeicola vulgatus 274-1D4
665954,Bacteroides ovatus 3_8_47FAA
411479,Bacteroides uniformis ATCC 8492
445970,Alistipes putredinis DSM 17216
435591,Parabacteroides distasonis ATCC 8503
411477,Parabacteroides merdae ATCC 43184
411901,Bacteroides caccae ATCC 43185
748224,Faecalibacterium cf. prausnitzii KLE1255
515619,Agathobacter rectalis ATCC 33656
585394,Roseburia hominis A2-183
1263104,Roseburia intestinalis CAG:13
657321,Ruminococcus bromii L2-63
411459,Blautia obeum ATCC 29174
1357389,Clostridium leptum A16_3
634501,Clostridium butyricum 2CR37
1280691,Blautia wexlerae AGR2146
411490,Anaerostipes caccae L1-92
1280698,Dorea longicatena AGR2136
470146,Coprococcus comes ATCC 27758
515620,Lachnospira eligens ATCC 27750
1263062,Eshraghiella crossota CAG:259
411471,Subdoligranulum variabile DSM 15176
367928,Bifidobacterium adolescentis ATCC 15703
1000567,Bifidobacterium longum 3_1_37DFAAB
1385938,Bifidobacterium breve 12L
500634,Bifidobacterium bifidum ATCC 29521
518635,Bifidobacterium angulatum DSM 20098
316435,Escherichia coli Nissle 1917
411464,Desulfovibrio piger ATCC 29098
563192,Bilophila wadsworthia 3_1_6
349741,Akkermansia muciniphila ATCC BAA-835
1357398,Fusobacterium nucleatum 13_3C
1381116,Lacticaseibacillus rhamnosus 2166
1051650,Lacticaseibacillus casei 12A
1327988,Lactiplantibacillus plantarum 16
525341,Limosilactobacillus reuteri CF48-3A
891391,Lactobacillus acidophilus 30SC
1403312,Lactobacillus gasseri 130918
1408188,Lactococcus lactis RTB018
1435981,Streptococcus thermophilus 1F8CT
411903,Collinsella aerofaciens ATCC 25986
742768,Eggerthella lenta 1_1_60AFAA
420247,Methanobrevibacter smithii ATCC 35061
545696,Holdemania filiformis DSM 12042
1263090,Odoribacter splanchnicus CAG:14
702450,Turicibacter sanguinis PC909
224308,Bacillus subtilis subsp. subtilis str. 168
668369,Escherichia coli DH5alpha
